Animal ID,Name,DateTime,Found Location,Intake Type,Intake Condition,Animal Type,Sex upon Intake,Age upon Intake,Breed,Color,DateTime_out,Date of Birth,Outcome Type,Outcome Subtype,Sex upon Outcome,Age upon Outcome,shelter_time,shelter_days,Adopt Rating
829661,,2021-02-19 17:23:00,9604 Carson Creek in Austin (TX),Stray,Normal,Cat,Intact Male,1 year,Domestic Shorthair,Orange Tabby,,,,,,,NaT,New intake,Not Adopted
829660,,2021-02-19 16:43:00,14204 Jacobson Road in Austin (TX),Stray,Normal,Dog,Intact Female,5 months,Carolina Dog,Yellow Brindle/White,,,,,,,NaT,New intake,Not Adopted
829659,,2021-02-19 16:43:00,14204 Jacobson Road in Austin (TX),Stray,Normal,Dog,Intact Female,5 months,Labrador Retriever,Black/White,,,,,,,NaT,New intake,Not Adopted
829643,Frosty,2021-02-19 13:03:00,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,5 years,Labrador Retriever,White,,,,,,,NaT,New intake,Not Adopted
829642,,2021-02-19 11:47:00,85Th Trinity Street in Austin (TX),Public Assist,Normal,Dog,Intact Male,2 years,Chow Chow,Buff,,,,,,,NaT,New intake,Not Adopted
829630,Daisy,2021-02-18 16:57:00,900 Barton Springs in Austin (TX),Public Assist,Normal,Dog,Spayed Female,10 years,Rat Terrier Mix,White/Black,,,,,,,NaT,New intake,Not Adopted
829629,Minnie,2021-02-18 16:57:00,900 Barton Springs in Austin (TX),Public Assist,Normal,Dog,Intact Female,3 years,Chihuahua Shorthair/Dachshund Wirehair,Brown Brindle,,,,,,,NaT,New intake,Not Adopted
829618,,2021-02-17 17:27:00,2930 East 12Th Street in Austin (TX),Public Assist,Normal,Dog,Intact Female,3 years,Pit Bull Mix,Blue,,,,,,,NaT,New intake,Not Adopted
829617,,2021-02-17 17:27:00,2930 East 12Th Street in Austin (TX),Public Assist,Normal,Dog,Intact Male,3 years,Pit Bull Mix,Blue,,,,,,,NaT,New intake,Not Adopted
829616,,2021-02-17 14:28:00,2751 East Sh 71 in Austin (TX),Public Assist,Normal,Dog,Neutered Male,2 years,Golden Retriever,Gold,,,,,,,NaT,New intake,Not Adopted
829611,Chief,2021-02-17 10:33:00,Austin (TX),Owner Surrender,Injured,Cat,Neutered Male,9 years,Domestic Shorthair,Orange,,,,,,,NaT,New intake,Not Adopted
829602,,2021-02-16 11:59:00,Prairie Trail in Austin (TX),Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair,White/Brown Tabby,,,,,,,NaT,New intake,Not Adopted
829571,,2021-02-13 16:44:00,6220 Brookside Drive in Austin (TX),Stray,Normal,Dog,Intact Male,10 months,Great Pyrenees,White,,,,,,,NaT,New intake,Not Adopted
829565,,2021-02-13 14:49:00,18100 Ryegate Drive in Travis (TX),Stray,Normal,Dog,Intact Female,1 year,Labrador Retriever,White,,,,,,,NaT,New intake,Not Adopted
829561,,2021-02-13 13:39:00,11402 James Haller Drive in Austin (TX),Stray,Sick,Cat,Intact Female,6 months,Domestic Shorthair,Calico,,,,,,,NaT,New intake,Not Adopted
829556,,2021-02-13 13:04:00,Ross Road And Pearce Lane in Austin (TX),Stray,Normal,Dog,Intact Male,3 years,Labrador Retriever/Pit Bull,Black/White,,,,,,,NaT,New intake,Not Adopted
829553,,2021-02-13 15:35:00,7304 Lazy Creek Drive in Austin (TX),Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair,Blue Tabby,,,,,,,NaT,New intake,Not Adopted
829552,Ivy,2021-02-13 11:43:00,9402 Carson Creek in Austin (TX),Stray,Nursing,Dog,Intact Female,1 year,German Shepherd,Tan/Black,,,,,,,NaT,New intake,Not Adopted
829547,,2021-02-13 09:28:00,6000 Middle Fiskville Road in Austin (TX),Stray,Normal,Dog,Intact Male,10 years,Catahoula,Gold,,,,,,,NaT,New intake,Not Adopted
825423,Precious,2021-02-13 11:54:00,South First And Cumberland in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Chihuahua Longhair/Chow Chow,Tan,,,,,,,NaT,New intake,Not Adopted
814119,*Tony,2021-02-19 15:50:00,11800 Green Grove Drive in Austin (TX),Stray,Normal,Dog,Neutered Male,3 years,Pit Bull,Brown Brindle,,,,,,,NaT,New intake,Not Adopted
